genre_ids,original_language,popularity,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,release_date,production_budget,worldwide_gross,genre_names
[18],ru,1.004,Another Year,6.3,4,SPC,3200000.0,16500000.0,2010,2010-12-29,8000000.0,20005613.0,['Drama']
"[35, 18, 10749]",en,9.394,Letters to Juliet,6.9,1706,Sum.,53000000.0,26100000.0,2010,2010-05-14,30000000.0,82148538.0,"['Comedy', 'Drama', 'Romance']"
[18],en,9.389,Rabbit Hole,6.8,292,LGF,2200000.0,2900000.0,2010,2010-12-17,5000000.0,6205034.0,['Drama']
"[28, 35]",en,9.355,Wild Target,6.4,356,Free,109000.0,3300000.0,2010,2010-10-29,8000000.0,5314194.0,"['Action', 'Comedy']"
"[27, 18, 53]",en,9.35,The Last Exorcism,5.6,519,LGF,41000000.0,26700000.0,2010,2010-08-27,1800000.0,70165900.0,"['Horror', 'Drama', 'Thriller']"
"[18, 10751, 10749]",en,9.237,The Last Song,7.2,2199,BV,63000000.0,26100000.0,2010,2010-03-31,20000000.0,92678948.0,"['Drama', 'Family', 'Romance']"
"[35, 10751, 16, 12]",en,9.096,Yogi Bear,5.3,387,WB,100200000.0,101300000.0,2010,2010-12-17,80000000.0,204774690.0,"['Comedy', 'Family', 'Animation', 'Adventure']"
"[80, 18, 53]",en,9.087,The Disappearance of Alice Creed,6.6,280,Anch.,167000.0,701000.0,2010,2010-08-06,1500000.0,1605139.0,"['Crime', 'Drama', 'Thriller']"
[18],en,9.059,Secretariat,7.0,200,BV,59700000.0,537000.0,2010,2010-10-08,35000000.0,60376247.0,['Drama']
"[80, 18, 53]",en,9.042,The American,5.8,690,Focus,35600000.0,32299999.0,2010,2010-09-01,20000000.0,67950723.0,"['Crime', 'Drama', 'Thriller']"
"[18, 10749]",en,8.994,Blue Valentine,6.9,1677,Wein.,9700000.0,2600000.0,2010,2010-12-29,1000000.0,16566240.0,"['Drama', 'Romance']"
"[35, 27]",en,8.992,Vampires Suck,4.1,658,Fox,36700000.0,43900000.0,2010,2010-08-18,20000000.0,81424988.0,"['Comedy', 'Horror']"
"[28, 80, 18, 53]",en,8.969,Takers,6.2,605,SGem,57700000.0,11300000.0,2010,2010-08-27,32000000.0,70587268.0,"['Action', 'Crime', 'Drama', 'Thriller']"
"[878, 28]",en,8.847000000000001,Skyline,4.8,833,Uni.,21400000.0,45400000.0,2010,2010-11-12,10000000.0,68264973.0,"['Science Fiction', 'Action']"
"[28, 35, 80]",en,8.82,Cop Out,5.4,796,WB,44900000.0,10700000.0,2010,2010-02-26,37000000.0,55909910.0,"['Action', 'Comedy', 'Crime']"
"[18, 53, 9648]",en,8.807,Chloe,5.9,940,SPC,3100000.0,8600000.0,2010,2010-03-26,13000000.0,11831131.0,"['Drama', 'Thriller', 'Mystery']"
"[18, 10749]",en,8.676,Burlesque,7.1,1195,SGem,39400000.0,50100000.0,2010,2010-11-24,55000000.0,90552675.0,"['Drama', 'Romance']"
"[10751, 35]",en,8.487,Marmaduke,5.1,367,Fox,33600000.0,50100000.0,2010,2010-06-04,50000000.0,89895930.0,"['Family', 'Comedy']"
[35],en,8.485,Get Him to the Greek,5.9,980,Uni.,61000000.0,30300000.0,2010,2010-06-04,40000000.0,91455875.0,['Comedy']
"[35, 18]",en,8.426,The Kids Are All Right,6.6,854,Focus,20800000.0,13900000.0,2010,2010-07-09,4000000.0,36275469.0,"['Comedy', 'Drama']"
"[14, 27, 53]",en,8.405,Don't Be Afraid of the Dark,5.5,550,FD,24000000.0,12900000.0,2011,2011-08-26,25000000.0,39126427.0,"['Fantasy', 'Horror', 'Thriller']"
"[18, 53]",en,8.401,Stone,5.2,334,Over.,1800000.0,7700000.0,2010,2010-10-08,22000000.0,4065020.0,"['Drama', 'Thriller']"
"[53, 18]",ru,2.84,Stone,4.9,8,Over.,1800000.0,7700000.0,2010,2010-10-08,22000000.0,4065020.0,"['Thriller', 'Drama']"
[18],en,8.347999999999999,Welcome to the Rileys,6.5,241,Gold.,159000.0,158000.0,2010,2010-10-29,10000000.0,355919.0,['Drama']
"[35, 18, 10749]",en,8.281,Going the Distance,6.0,394,WB (NL),17800000.0,24200000.0,2010,2010-09-03,32000000.0,43603990.0,"['Comedy', 'Drama', 'Romance']"
"[12, 14, 28, 37, 53]",en,8.259,The Warrior's Way,6.1,203,Rela.,5700000.0,5400000.0,2010,2010-12-03,42000000.0,8514325.0,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']"
"[35, 18, 9648]",en,8.215,Get Low,6.7,135,SPC,9200000.0,518000.0,2010,2010-07-30,7000000.0,10828305.0,"['Comedy', 'Drama', 'Mystery']"
"[18, 10402]",en,8.19,The Runaways,6.4,448,App.,3600000.0,1100000.0,2010,2010-03-19,9500000.0,5278632.0,"['Drama', 'Music']"
"[27, 53]",en,8.163,Paranormal Activity 2,5.7,1342,Par.,84800000.0,92800000.0,2010,2010-10-20,3000000.0,177512032.0,"['Horror', 'Thriller']"
"[18, 14]",en,7.886,Hereafter,5.9,848,WB,32700000.0,72500000.0,2010,2010-10-15,50000000.0,108660270.0,"['Drama', 'Fantasy']"
"[18, 9648, 53, 80, 10749]",en,7.871,All Good Things,6.0,493,Magn.,582000.0,62500.0,2010,2010-12-03,20000000.0,873617.0,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Romance']"
"[53, 9648]",en,7.829,The Ghost Writer,6.8,1135,Sum.,15500000.0,44700000.0,2010,2010-02-19,45000000.0,65532491.0,"['Thriller', 'Mystery']"
"[35, 10749]",en,7.775,She's Out of My League,6.1,970,Par.,32000000.0,17800000.0,2010,2010-03-12,20000000.0,48680977.0,"['Comedy', 'Romance']"
"[35, 10749, 18]",en,7.745,The Switch,6.1,1008,Mira.,27800000.0,22100000.0,2010,2010-08-20,19000000.0,49858465.0,"['Comedy', 'Romance', 'Drama']"
"[35, 18, 10749]",en,7.735,Cyrus,6.0,201,FoxS,7500000.0,2500000.0,2010,2010-06-18,7000000.0,10062896.0,"['Comedy', 'Drama', 'Romance']"
[18],es,7.697,Biutiful,7.2,546,RAtt.,5100000.0,20000000.0,2011,2011-01-28,35000000.0,24687524.0,['Drama']
"[28, 12, 35]",en,7.666,MacGruber,5.3,270,Uni.,8500000.0,797000.0,2010,2010-05-21,10000000.0,8629895.0,"['Action', 'Adventure', 'Comedy']"
"[35, 18]",en,7.596,Somewhere,6.1,376,Focus,1800000.0,12200000.0,2010,2010-12-22,7000000.0,17023121.0,"['Comedy', 'Drama']"
"[18, 10749, 10402]",en,7.567,Country Strong,6.3,126,SGem,20200000.0,310000.0,2010,2010-12-22,15000000.0,20601987.0,"['Drama', 'Romance', 'Music']"
"[10402, 14, 28, 10751]",en,7.566,The Nutcracker in 3D,5.5,97,Free,195000.0,16000000.0,2010,2010-11-24,90000000.0,20466016.0,"['Music', 'Fantasy', 'Action', 'Family']"
"[99, 10751]",en,7.532,Oceans,7.2,167,BV,19400000.0,63200000.0,2010,2010-04-22,80000000.0,86787530.0,"['Documentary', 'Family']"
[18],en,7.51,Conviction,7.2,297,FoxS,6800000.0,2900000.0,2010,2010-10-15,12500000.0,11826980.0,['Drama']
"[35, 10751]",en,7.442,Ramona and Beezus,6.3,460,Fox,26200000.0,1100000.0,2010,2010-07-23,15000000.0,27469621.0,"['Comedy', 'Family']"
"[35, 18, 36]",en,7.275,Made in Dagenham,6.6,150,SPC,1100000.0,11300000.0,2010,2010-11-19,8000000.0,15644196.0,"['Comedy', 'Drama', 'History']"
[18],en,7.099,Nowhere Boy,7.3,469,Wein.,1500000.0,5100000.0,2010,2010-10-08,1900000.0,7785229.0,['Drama']
"[80, 18, 53]",en,7.087000000000001,The Killer Inside Me,5.9,304,IFC,217000.0,3800000.0,2010,2010-06-18,13000000.0,3617277.0,"['Crime', 'Drama', 'Thriller']"
"[35, 18, 10749]",en,7.047000000000001,Just Wright,6.2,211,FoxS,21500000.0,29900.0,2010,2010-05-14,12000000.0,21867665.0,"['Comedy', 'Drama', 'Romance']"
"[18, 9648, 10749]",en,6.824,Shanghai,6.1,80,Wein.,46400.0,9200000.0,2015,2015-10-02,50000000.0,15505922.0,"['Drama', 'Mystery', 'Romance']"
[35],en,6.632000000000001,Dinner for Schmucks,5.6,920,P/DW,73000000.0,13800000.0,2010,2010-07-30,69000000.0,86796502.0,['Comedy']
"[80, 18, 53, 36]",en,6.568,Carlos,7.0,87,IFC,146000.0,726000.0,2010,2010-10-15,18000000.0,1619153.0,"['Crime', 'Drama', 'Thriller', 'History']"
"[27, 53]",en,6.44,Chain Letter,4.1,63,NFC,139000.0,447000.0,2010,2010-10-01,3000000.0,1022453.0,"['Horror', 'Thriller']"
"[35, 18]",en,6.4239999999999995,The Joneses,6.2,312,RAtt.,1500000.0,5500000.0,2010,2010-04-16,10000000.0,3541565.0,"['Comedy', 'Drama']"
[99],en,0.634,The Joneses,6.0,1,RAtt.,1500000.0,5500000.0,2010,2010-04-16,10000000.0,3541565.0,['Documentary']
[18],en,6.3,Extraordinary Measures,6.3,153,CBS,12100000.0,3100000.0,2010,2010-01-22,31000000.0,15826984.0,['Drama']
"[18, 14]",en,6.3,The Tempest,5.8,52,Mira.,278000.0,68700.0,2010,2010-12-10,20000000.0,277943.0,"['Drama', 'Fantasy']"
"[35, 18, 10749]",en,6.209,You Will Meet a Tall Dark Stranger,5.8,431,SPC,3200000.0,31000000.0,2010,2010-09-22,15000000.0,34247816.0,"['Comedy', 'Drama', 'Romance']"
"[18, 28, 10749]",hi,6.058,Kites,5.8,67,Relbig.,1600000.0,1300000.0,2010,2010-05-21,9200000.0,17155193.0,"['Drama', 'Action', 'Romance']"
"[35, 80, 53]",en,5.996,Leaves of Grass,6.0,214,First,70100.0,949000.0,2010,2010-04-02,9000000.0,85527.0,"['Comedy', 'Crime', 'Thriller']"
"[35, 18]",en,5.945,Please Give,6.3,81,SPC,4000000.0,280000.0,2010,2010-04-30,3000000.0,4570178.0,"['Comedy', 'Drama']"
[99],en,5.705,Freakonomics,6.6,57,Magn.,101000.0,16400.0,2010,2010-10-01,2900000.0,172867.0,['Documentary']
[35],en,5.056,The Extra Man,5.9,46,Magn.,453000.0,4500.0,2010,2010-07-30,7000000.0,492108.0,['Comedy']
[35],en,5.025,Our Family Wedding,5.5,57,FoxS,20300000.0,1200000.0,2010,2010-03-12,14000000.0,21410546.0,['Comedy']
"[18, 10751]",en,4.958,The Perfect Game,6.3,44,IW,1000000.0,2800000.0,2010,2010-04-16,12500000.0,3931367.0,"['Drama', 'Family']"
"[18, 10751]",en,4.242,Letters to God,6.9,71,Viv.,2800000.0,60300.0,2010,2010-04-09,3000000.0,3237452.0,"['Drama', 'Family']"
[18],en,2.858,For Colored Girls,6.8,33,LGF,37700000.0,17300.0,2010,2010-11-05,21000000.0,38017873.0,['Drama']
[99],en,2.7460000000000004,Sea Rex 3D: Journey to a Prehistoric World,7.4,12,3D,6100000.0,9900000.0,2010,2010-05-28,5000000.0,16515203.0,['Documentary']
"[18, 10749]",en,2.681,Mao's Last Dancer,7.0,45,Gold.,4800000.0,17500000.0,2010,2010-08-20,18000000.0,25941437.0,"['Drama', 'Romance']"
"[18, 35, 10749]",en,2.3209999999999997,The Good Heart,6.4,30,Magn.,20900.0,323000.0,2010,2010-04-30,3800000.0,340930.0,"['Drama', 'Comedy', 'Romance']"
[878],en,2.1719999999999997,Pixels,7.1,35,Sony,78700000.0,166100000.0,2015,2015-07-24,90000000.0,244041804.0,['Science Fiction']
"[28, 35, 878]",en,23.029,Pixels,5.6,4423,Sony,78700000.0,166100000.0,2015,2015-07-24,90000000.0,244041804.0,"['Action', 'Comedy', 'Science Fiction']"
"[35, 16]",en,0.8340000000000001,Get Out,5.5,8,Uni.,176000000.0,79400000.0,2017,2017-02-24,5000000.0,255367951.0,"['Comedy', 'Animation']"
"[9648, 53, 27]",en,24.739,Get Out,7.5,8760,Uni.,176000000.0,79400000.0,2017,2017-02-24,5000000.0,255367951.0,"['Mystery', 'Thriller', 'Horror']"
"[28, 12, 27, 878]",en,0.667,Resident Evil: Afterlife,5.9,2119,SGem,60100000.0,240100000.0,2010,2010-09-10,57500000.0,295874190.0,"['Action', 'Adventure', 'Horror', 'Science Fiction']"
"[27, 28, 53, 878]",en,0.6,The Raven,5.9,5,Rela.,16000000.0,13600000.0,2012,2012-04-27,26000000.0,30601801.0,"['Horror', 'Action', 'Thriller', 'Science Fiction']"
"[80, 53, 9648]",en,8.635,The Raven,6.3,681,Rela.,16000000.0,13600000.0,2012,2012-04-27,26000000.0,30601801.0,"['Crime', 'Thriller', 'Mystery']"
[28],th,0.6,Brave,5.0,1,BV,237300000.0,303200000.0,2012,2012-06-22,185000000.0,554606532.0,['Action']
"[16, 12, 35, 10751, 28, 14]",en,18.908,Brave,6.9,8116,BV,237300000.0,303200000.0,2012,2012-06-22,185000000.0,554606532.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']"
[],en,0.6,The Lazarus Effect,4.8,3,Rela.,25800000.0,12600000.0,2015,2015-02-27,5000000.0,38359310.0,[]
"[53, 27]",en,10.157,The Lazarus Effect,5.1,825,Rela.,25800000.0,12600000.0,2015,2015-02-27,5000000.0,38359310.0,"['Thriller', 'Horror']"
[],es,0.6,Trash,3.0,3,FCW,17500.0,4800000.0,2015,2015-10-09,12000000.0,6553186.0,[]
"[12, 80, 18, 53]",pt,7.178999999999999,Trash,7.1,353,FCW,17500.0,4800000.0,2015,2015-10-09,12000000.0,6553186.0,"['Adventure', 'Crime', 'Drama', 'Thriller']"
"[14, 18, 28, 35, 878]",en,0.6,Your Highness,3.0,4,Uni.,21600000.0,3300000.0,2011,2011-04-08,50000000.0,26121638.0,"['Fantasy', 'Drama', 'Action', 'Comedy', 'Science Fiction']"
"[35, 12, 14]",en,12.254000000000001,Your Highness,5.3,735,Uni.,21600000.0,3300000.0,2011,2011-04-08,50000000.0,26121638.0,"['Comedy', 'Adventure', 'Fantasy']"
"[12, 14, 28]",en,38.068000000000005,Thor,6.7,12764,Par.,181000000.0,268300000.0,2011,2011-05-06,150000000.0,449326618.0,"['Adventure', 'Fantasy', 'Action']"
[35],en,32.266,The Hangover Part II,6.4,6231,WB,254500000.0,332300000.0,2011,2011-05-26,80000000.0,586464305.0,['Comedy']
"[12, 28, 14]",en,30.579,Pirates of the Caribbean: On Stranger Tides,6.4,8571,BV,241100000.0,804600000.0,2011,2011-05-20,410600000.0,1045663875.0,"['Adventure', 'Action', 'Fantasy']"
"[28, 12, 878]",en,25.808000000000003,Captain America: The First Avenger,6.9,12810,Par.,176700000.0,193900000.0,2011,2011-07-22,140000000.0,370569776.0,"['Action', 'Adventure', 'Science Fiction']"
"[16, 10751, 12, 35]",en,23.498,Cars 2,5.9,4058,BV,191500000.0,370700000.0,2011,2011-06-24,200000000.0,560155383.0,"['Animation', 'Family', 'Adventure', 'Comedy']"
"[53, 28, 18, 878]",en,22.995,Rise of the Planet of the Apes,7.2,7259,Fox,176800000.0,305000000.0,2011,2011-08-05,93000000.0,470986200.0,"['Thriller', 'Action', 'Drama', 'Science Fiction']"
"[53, 9648, 878]",en,19.453,Limitless,7.1,6295,Rela.,79200000.0,82600000.0,2011,2011-03-18,27000000.0,155564919.0,"['Thriller', 'Mystery', 'Science Fiction']"
"[28, 53, 878]",en,18.912,In Time,6.8,6245,Fox,37500000.0,136400000.0,2011,2011-10-28,35000000.0,165103952.0,"['Action', 'Thriller', 'Science Fiction']"
"[28, 14, 53]",en,18.678,Ghost Rider: Spirit of Vengeance,4.8,2039,Sony,51800000.0,80800000.0,2012,2012-02-17,57000000.0,149217355.0,"['Action', 'Fantasy', 'Thriller']"
"[12, 28, 80, 9648]",en,18.301,Sherlock Holmes: A Game of Shadows,7.1,6380,WB,186800000.0,358600000.0,2011,2011-12-16,125000000.0,535663443.0,"['Adventure', 'Action', 'Crime', 'Mystery']"
"[53, 80, 9648, 18]",en,17.823,The Girl with the Dragon Tattoo,7.3,3971,MBox,10100000.0,94300000.0,2010,2011-12-20,90000000.0,239373970.0,"['Thriller', 'Crime', 'Mystery', 'Drama']"
"[53, 28, 9648]",en,17.69,Abduction,5.8,1791,LGF,28100000.0,54000000.0,2011,2011-09-23,35000000.0,86648359.0,"['Thriller', 'Action', 'Mystery']"
"[16, 10751]",en,17.363,Kung Fu Panda 2,6.7,3628,P/DW,165200000.0,500400000.0,2011,2011-05-26,150000000.0,664837547.0,"['Animation', 'Family']"
"[12, 28, 53, 878]",en,17.257,Green Lantern,5.1,4290,WB,116600000.0,103300000.0,2011,2011-06-17,200000000.0,219535492.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
"[878, 18, 10749, 14]",en,17.242,Mr. Nobody,7.9,3279,Magn.,3600.0,3500000.0,2013,2013-11-01,46500000.0,22254.0,"['Science Fiction', 'Drama', 'Romance', 'Fantasy']"
"[16, 10751, 12, 35, 14]",en,16.533,The Smurfs,5.6,2112,Sony,142600000.0,421100000.0,2011,2011-07-29,110000000.0,563749323.0,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']"
"[27, 53]",en,16.197,Insidious,6.9,3582,FD,54000000.0,43000000.0,2011,2011-04-01,1500000.0,99870886.0,"['Horror', 'Thriller']"
"[27, 9648]",en,16.082,Scream 4,6.2,1610,W/Dim.,38200000.0,59000000.0,2011,2011-04-15,40000000.0,95989590.0,"['Horror', 'Mystery']"
"[80, 35, 28]",en,16.024,"Big Mommas: Like Father, Like Son",5.5,623,Fox,37900000.0,44800000.0,2011,2011-02-18,32000000.0,82332450.0,"['Crime', 'Comedy', 'Action']"
"[80, 12, 28, 35, 53]",en,15.542,Johnny English Reborn,6.1,1810,Uni.,8300000.0,151800000.0,2011,2011-10-21,45000000.0,164640401.0,"['Crime', 'Adventure', 'Action', 'Comedy', 'Thriller']"
[18],en,15.478,Warrior,7.8,2189,LGF,13700000.0,9400000.0,2011,2011-09-09,25000000.0,24215385.0,['Drama']
[18],en,15.392999999999999,Moneyball,7.1,2255,Sony,75600000.0,34600000.0,2011,2011-09-23,50000000.0,111300835.0,['Drama']
"[27, 35, 53]",en,15.335999999999999,The Cabin in the Woods,6.5,4185,LGF,42100000.0,24400000.0,2012,2012-04-13,30000000.0,70689968.0,"['Horror', 'Comedy', 'Thriller']"
"[14, 27]",en,15.318,Priest,5.5,1157,SGem,29100000.0,49200000.0,2011,2011-05-13,60000000.0,84154026.0,"['Fantasy', 'Horror']"
"[12, 35, 878]",en,15.234000000000002,Paul,6.5,3017,Uni.,37400000.0,60600000.0,2011,2011-03-18,40000000.0,101162106.0,"['Adventure', 'Comedy', 'Science Fiction']"
"[28, 12, 53]",en,15.135,Killer Elite,6.2,1093,ORF,25100000.0,31300000.0,2011,2011-09-23,70000000.0,65409046.0,"['Action', 'Adventure', 'Thriller']"
"[28, 878, 18]",en,14.811,Real Steel,6.8,4566,BV,85500000.0,213800000.0,2011,2011-10-07,110000000.0,263880341.0,"['Action', 'Science Fiction', 'Drama']"
"[14, 28, 18]",en,14.774000000000001,Immortals,5.8,1431,Rela.,83500000.0,143400000.0,2011,2011-11-11,75000000.0,211562435.0,"['Fantasy', 'Action', 'Drama']"
"[16, 35, 10751]",en,14.738,Hop,5.6,611,Uni.,108100000.0,75900000.0,2011,2011-04-01,63000000.0,188657593.0,"['Animation', 'Comedy', 'Family']"
"[16, 12, 35, 10751]",en,14.695,Rio,6.6,3730,Fox,143600000.0,341000000.0,2011,2011-04-15,90000000.0,487519809.0,"['Animation', 'Adventure', 'Comedy', 'Family']"
"[28, 80, 35]",en,14.501,The Green Hornet,5.5,1897,Sony,98800000.0,129000000.0,2011,2011-01-14,110000000.0,229155503.0,"['Action', 'Crime', 'Comedy']"
"[16, 35, 10751, 37, 12]",en,14.462,Rango,6.6,3412,Par.,123500000.0,122200000.0,2011,2011-03-04,135000000.0,245724600.0,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']"
